Student_ID,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance
1,5.2,Instagram,Yes
2,2.1,Twitter,No
3,6,TikTok,Yes
4,3,YouTube,No
5,4.5,Facebook,Yes
6,7.2,Instagram,Yes
7,1.5,LinkedIn,No
8,5.8,Snapchat,Yes
9,4,TikTok,No
10,3.3,Instagram,No
11,4.8,Snapchat,Yes
12,5.5,TikTok,Yes
13,2.8,LinkedIn,No
14,6.5,Instagram,Yes
15,3.7,YouTube,No
16,4.2,TikTok,Yes
17,2,LinkedIn,No
18,5,Instagram,Yes
19,3.5,Facebook,No
20,4.7,Snapchat,Yes
21,5.3,TikTok,Yes
22,2.5,LinkedIn,No
23,4.9,Instagram,Yes
24,5.7,TikTok,Yes
25,3.2,Facebook,No
26,6.1,Instagram,Yes
27,3.8,YouTube,No
28,4.4,TikTok,Yes
29,2.2,LinkedIn,No
30,5.9,Instagram,Yes
31,3.6,Facebook,No
32,4.8,Snapchat,Yes
33,5.4,TikTok,Yes
34,2.6,LinkedIn,No
35,4.7,Instagram,Yes
36,5.6,TikTok,Yes
37,3.1,Facebook,No
38,6.2,Instagram,Yes
39,3.9,YouTube,No
40,4.5,TikTok,Yes
41,2.3,LinkedIn,No
42,5.8,Instagram,Yes
43,3.7,Facebook,No
44,4.6,Snapchat,Yes
45,5.5,TikTok,Yes
46,2.7,LinkedIn,No
47,4.8,Instagram,Yes
48,5.5,TikTok,Yes
49,3.3,Facebook,No
50,6.3,Instagram,Yes
51,3.8,YouTube,No
52,4.7,TikTok,Yes
53,2.4,LinkedIn,No
54,5.7,Instagram,Yes
55,3.6,Facebook,No
56,4.9,Snapchat,Yes
57,5.6,TikTok,Yes
58,2.8,LinkedIn,No
59,4.6,Instagram,Yes
60,5.4,TikTok,Yes
61,3.1,Facebook,No
62,5.6,Instagram,Yes
63,4.2,TikTok,Yes
64,6.1,Snapchat,Yes
65,2.3,LinkedIn,No
66,4.8,Instagram,Yes
67,3.9,YouTube,No
68,5.7,TikTok,Yes
69,2.8,LinkedIn,No
70,4.5,Instagram,Yes
71,5.4,Snapchat,Yes
72,3.2,Facebook,No
73,4.9,TikTok,Yes
74,5.8,Instagram,Yes
75,2.5,LinkedIn,No
76,4.6,Snapchat,Yes
77,5.5,TikTok,Yes
78,2.9,Facebook,No
79,4.7,YouTube,Yes
80,5.9,Instagram,Yes
81,3,LinkedIn,No
82,4.8,TikTok,Yes
83,3.8,Facebook,No
84,2.7,LinkedIn,No
85,5.6,Snapchat,Yes
86,4.5,Instagram,Yes
87,5.3,TikTok,Yes
88,2.6,LinkedIn,No
89,4.4,YouTube,Yes
90,5.8,Instagram,Yes
91,2.9,Facebook,No
92,4.7,TikTok,Yes
93,3.7,Snapchat,No
94,5.5,Instagram,Yes
95,2.4,LinkedIn,No
96,4.9,TikTok,Yes
97,5.7,Snapchat,Yes
98,2.8,LinkedIn,No
99,4.6,Instagram,Yes
100,5.4,TikTok,Yes
101,5.8,YouTube,Yes
102,2.5,LinkedIn,No
103,4.7,Facebook,Yes
104,5.6,Instagram,Yes
105,2.9,LinkedIn,No
106,4.8,TikTok,Yes
107,3.8,YouTube,No
108,5.5,Snapchat,Yes
109,2.6,LinkedIn,No
110,4.9,Instagram,Yes
111,6.1,Instagram,Yes
112,5.8,TikTok,Yes
113,4.9,Facebook,No
114,5.5,Instagram,Yes
115,5.2,TikTok,Yes
116,4.8,Instagram,No
117,6,Facebook,Yes
118,5.7,Instagram,Yes
119,4.7,TikTok,No
120,5.4,Instagram,Yes
121,5.9,Facebook,Yes
122,4.6,Instagram,No
123,5.3,TikTok,Yes
124,5.8,Instagram,Yes
125,4.5,Facebook,No
126,5.2,Instagram,Yes
127,5.7,TikTok,Yes
128,4.4,Instagram,No
129,5.1,Facebook,Yes
130,5.6,Instagram,Yes
131,4.3,TikTok,No
132,5,Instagram,Yes
133,5.5,Facebook,Yes
134,4.2,Instagram,No
135,4.9,TikTok,Yes
136,5.4,Instagram,Yes
137,4.1,Facebook,No
138,4.8,Instagram,Yes
139,5.3,TikTok,Yes
140,4,Instagram,No
141,4.7,Facebook,Yes
142,5.2,Instagram,Yes
143,3.9,TikTok,No
144,4.6,Instagram,Yes
145,5.1,Facebook,Yes
146,3.8,Instagram,No
147,4.5,TikTok,Yes
148,5,Instagram,Yes
149,3.7,Facebook,No
150,4.4,Instagram,Yes
151,4.9,TikTok,Yes
152,3.6,Instagram,No
153,4.3,Facebook,Yes
154,4.8,Instagram,Yes
155,3.5,TikTok,No
156,4.2,Instagram,Yes
157,4.7,Facebook,Yes
158,3.4,Instagram,No
159,4.1,TikTok,Yes
160,4.6,Instagram,Yes
161,5.3,Instagram,Yes
162,4.8,Facebook,No
163,5.5,TikTok,Yes
164,4.7,Instagram,Yes
165,5.1,Facebook,No
166,5.4,TikTok,Yes
167,4.9,Instagram,Yes
168,5.2,Facebook,No
169,5.6,TikTok,Yes
170,4.6,Instagram,Yes
171,5,Facebook,No
172,5.3,TikTok,Yes
173,4.8,Instagram,Yes
174,5.1,Facebook,No
175,5.7,TikTok,Yes
176,4.5,Instagram,Yes
177,4.9,Facebook,No
178,5.2,TikTok,Yes
179,4.7,Instagram,Yes
180,5,Facebook,No
181,5.8,TikTok,Yes
182,4.4,Instagram,Yes
183,4.8,Facebook,No
184,5.1,TikTok,Yes
185,4.6,Instagram,Yes
186,4.9,Facebook,No
187,5.9,TikTok,Yes
188,4.3,Instagram,Yes
189,4.7,Facebook,No
190,5,TikTok,Yes
191,4.5,Instagram,Yes
192,4.8,Facebook,No
193,6,TikTok,Yes
194,4.2,Instagram,Yes
195,4.6,Facebook,No
196,4.9,TikTok,Yes
197,4.4,Instagram,Yes
198,4.7,Facebook,No
199,6.1,TikTok,Yes
200,4.1,Instagram,Yes
201,4.5,Facebook,No
202,4.8,TikTok,Yes
203,4.3,Instagram,Yes
204,4.6,Facebook,No
205,6.2,TikTok,Yes
206,4,Instagram,Yes
207,4.4,Facebook,No
208,4.7,TikTok,Yes
209,4.2,Instagram,Yes
210,4.5,Facebook,No
211,6.3,TikTok,Yes
212,3.9,Instagram,Yes
213,4.3,Facebook,No
214,4.6,TikTok,Yes
215,4.1,Instagram,Yes
216,4.4,Facebook,No
217,6.4,TikTok,Yes
218,3.8,Instagram,Yes
219,4.2,Facebook,No
220,4.5,TikTok,Yes
221,6.5,Instagram,Yes
222,5.8,TikTok,Yes
223,4.5,Instagram,No
224,4.2,Facebook,No
225,3.8,LINE,No
226,5.5,Instagram,Yes
227,5.2,KakaoTalk,Yes
228,4.8,VKontakte,No
229,7,TikTok,Yes
230,5.5,Instagram,Yes
231,4.7,Facebook,No
232,4,Instagram,No
233,3.5,LINE,No
234,5.7,TikTok,Yes
235,5,KakaoTalk,Yes
236,4.5,VKontakte,No
237,6.8,Instagram,Yes
238,5.6,Facebook,Yes
239,4.6,Instagram,No
240,4.1,Facebook,No
241,3.7,LINE,No
242,5.4,Instagram,Yes
243,5.1,KakaoTalk,Yes
244,4.7,VKontakte,No
245,6.9,TikTok,Yes
246,5.7,Instagram,Yes
247,4.8,Facebook,No
248,3.9,Instagram,No
249,3.6,LINE,No
250,5.6,TikTok,Yes
251,4.9,KakaoTalk,Yes
252,4.6,VKontakte,No
253,6.7,Instagram,Yes
254,5.4,Facebook,Yes
255,4.4,Instagram,No
256,4,Facebook,No
257,3.4,LINE,No
258,5.3,Instagram,Yes
259,5,KakaoTalk,Yes
260,4.4,VKontakte,No
261,6.6,TikTok,Yes
262,5.3,Instagram,Yes
263,4.3,Facebook,No
264,3.8,Instagram,No
265,3.3,LINE,No
266,5.2,TikTok,Yes
267,4.8,KakaoTalk,Yes
268,4.3,VKontakte,No
269,6.4,Instagram,Yes
270,5.2,Facebook,Yes
271,4.5,Instagram,No
272,3.7,Facebook,No
273,3.2,LINE,No
274,5.4,Instagram,Yes
275,4.7,KakaoTalk,Yes
276,4.2,VKontakte,No
277,6.6,TikTok,Yes
278,5.1,Instagram,Yes
279,4.4,Facebook,No
280,3.6,Instagram,No
281,3.1,LINE,No
282,5.3,TikTok,Yes
283,4.6,KakaoTalk,Yes
284,4.1,VKontakte,No
285,6.7,Instagram,Yes
286,5,Facebook,Yes
287,4.3,Instagram,No
288,3.5,Facebook,No
289,3,LINE,No
290,5.2,Instagram,Yes
291,4.5,KakaoTalk,Yes
292,4,VKontakte,No
293,6.8,TikTok,Yes
294,4.9,Instagram,Yes
295,4.2,Facebook,No
296,3.4,Instagram,No
297,2.9,LINE,No
298,5.1,TikTok,Yes
299,4.4,KakaoTalk,Yes
300,3.9,VKontakte,No
301,6.9,Instagram,Yes
302,4.8,Facebook,Yes
303,4.1,Instagram,No
304,3.3,Facebook,No
305,2.8,LINE,No
306,5,Instagram,Yes
307,4.3,KakaoTalk,Yes
308,3.8,VKontakte,No
309,7,TikTok,Yes
310,4.7,Instagram,Yes
311,4,Facebook,No
312,3.2,Instagram,No
313,2.7,LINE,No
314,4.9,TikTok,Yes
315,4.2,KakaoTalk,Yes
316,3.7,VKontakte,No
317,7.1,Instagram,Yes
318,4.6,Facebook,Yes
319,3.9,Instagram,No
320,3.1,Facebook,No
321,5.2,Instagram,Yes
322,4.1,Facebook,No
323,5,Instagram,Yes
324,5.8,WhatsApp,Yes
325,4,Instagram,No
326,5.5,Instagram,Yes
327,6.8,TikTok,Yes
328,5.6,WhatsApp,Yes
329,4.5,Instagram,No
330,5.3,Instagram,Yes
331,5.1,TikTok,Yes
332,3.9,Facebook,No
333,4.8,Instagram,Yes
334,5.9,WhatsApp,Yes
335,3.8,Instagram,No
336,5.4,TikTok,Yes
337,6.9,Instagram,Yes
338,5.7,WhatsApp,Yes
339,4.4,Instagram,No
340,5.2,TikTok,Yes
341,5,Instagram,Yes
342,3.8,Facebook,No
343,4.7,TikTok,Yes
344,6,WhatsApp,Yes
345,3.7,Instagram,No
346,5.3,Instagram,Yes
347,7,TikTok,Yes
348,5.8,WhatsApp,Yes
349,4.3,Instagram,No
350,5.1,Instagram,Yes
351,4.9,TikTok,Yes
352,3.7,Facebook,No
353,4.6,Instagram,Yes
354,6.1,WhatsApp,Yes
355,3.6,Instagram,No
356,5.2,TikTok,Yes
357,7.1,Instagram,Yes
358,5.9,WhatsApp,Yes
359,4.2,Instagram,No
360,5,TikTok,Yes
361,4.8,Instagram,Yes
362,3.6,Facebook,No
363,4.5,TikTok,Yes
364,6.2,WhatsApp,Yes
365,3.5,Instagram,No
366,5.1,Instagram,Yes
367,7.2,TikTok,Yes
368,6,WhatsApp,Yes
369,4.1,Instagram,No
370,4.9,Instagram,Yes
371,4.7,TikTok,Yes
372,3.5,Facebook,No
373,4.4,Instagram,Yes
374,6.3,WhatsApp,Yes
375,3.4,Instagram,No
376,5,TikTok,Yes
377,7.3,Instagram,Yes
378,6.1,WhatsApp,Yes
379,4,Instagram,No
380,4.8,TikTok,Yes
381,4.6,Instagram,Yes
382,3.4,Facebook,No
383,4.3,TikTok,Yes
384,6.4,WhatsApp,Yes
385,3.3,Instagram,No
386,4.9,Instagram,Yes
387,7.4,TikTok,Yes
388,6.2,WhatsApp,Yes
389,3.9,Instagram,No
390,4.7,Instagram,Yes
391,4.5,TikTok,Yes
392,3.3,Facebook,No
393,4.2,Instagram,Yes
394,6.5,WhatsApp,Yes
395,3.2,Instagram,No
396,4.8,TikTok,Yes
397,7.5,Instagram,Yes
398,6.3,WhatsApp,Yes
399,3.8,Instagram,No
400,4.6,TikTok,Yes
401,4.4,Instagram,Yes
402,3.2,Facebook,No
403,4.1,TikTok,Yes
404,6.6,WhatsApp,Yes
405,3.1,Instagram,No
406,4.7,Instagram,Yes
407,7.6,TikTok,Yes
408,6.4,WhatsApp,Yes
409,3.7,Instagram,No
410,4.5,Instagram,Yes
411,4.3,TikTok,Yes
412,3.1,Facebook,No
413,4,Instagram,Yes
414,6.7,WhatsApp,Yes
415,3,Instagram,No
416,4.6,TikTok,Yes
417,7.7,Instagram,Yes
418,6.5,WhatsApp,Yes
419,3.6,Instagram,No
420,4.4,TikTok,Yes
421,4.2,Instagram,Yes
422,3,Facebook,No
423,3.9,TikTok,Yes
424,6.8,WhatsApp,Yes
425,2.9,Instagram,No
426,4.5,Instagram,Yes
427,7.8,TikTok,Yes
428,6.6,WhatsApp,Yes
429,3.5,Instagram,No
430,4.3,Instagram,Yes
431,4.1,TikTok,Yes
432,2.9,Facebook,No
433,3.8,Instagram,Yes
434,6.9,WhatsApp,Yes
435,2.8,Instagram,No
436,4.4,TikTok,Yes
437,7.9,Instagram,Yes
438,6.7,WhatsApp,Yes
439,3.4,Instagram,No
440,4.2,TikTok,Yes
441,4,Instagram,Yes
442,2.8,Facebook,No
443,3.7,TikTok,Yes
444,7,WhatsApp,Yes
445,2.7,Instagram,No
446,4.3,Instagram,Yes
447,8,TikTok,Yes
448,6.8,WhatsApp,Yes
449,3.3,Instagram,No
450,4.1,Instagram,Yes
451,3.9,TikTok,Yes
452,2.7,Facebook,No
453,3.6,Instagram,Yes
454,7.1,WhatsApp,Yes
455,2.6,Instagram,No
456,4.2,TikTok,Yes
457,8.1,Instagram,Yes
458,6.9,WhatsApp,Yes
459,3.2,Instagram,No
460,4,TikTok,Yes
461,3.8,Instagram,Yes
462,2.6,Facebook,No
463,3.5,TikTok,Yes
464,7.2,WhatsApp,Yes
465,2.5,Instagram,No
466,4.1,Instagram,Yes
467,8.2,TikTok,Yes
468,7,WhatsApp,Yes
469,3.1,Instagram,No
470,3.9,Instagram,Yes
471,3.7,TikTok,Yes
472,2.5,Facebook,No
473,3.4,Instagram,Yes
474,7.3,WhatsApp,Yes
475,2.4,Instagram,No
476,4,TikTok,Yes
477,8.3,Instagram,Yes
